,Party_Id,Mean_Business,Median_Business,Total_Business,Mean_Days,Median_Days,Mean_Ship_Delay,Median_Ship_Delay,Mean_Initial_Delay,Median_Initial_Delay,Total_Transactions
59,526699,76.1,76.1,76.1,5.0,5.0,2.0,2.0,3.0,3.0,1
60,528789,53.8788888889,48.735,969.82,15.0,,3.52941176471,,10.9444444444,2.0,18
61,532789,113.88,113.88,113.88,8.0,8.0,6.0,6.0,2.0,2.0,1
62,534789,38.4,38.4,76.8,5.0,5.0,3.5,3.5,1.5,1.5,2
63,541789,55.026,58.2,275.13,6.0,6.0,3.6,4.0,2.4,2.0,5
64,549699,79.49,90.515,317.96,4.75,5.0,2.75,2.0,2.0,1.5,4
65,566699,47.045,47.045,94.09,7.0,7.0,5.5,5.5,1.5,1.5,2
66,584699,96.48,96.48,96.48,3.0,3.0,2.0,2.0,1.0,1.0,1
67,585699,45.7461904762,37.32,960.67,9.8,,5.55,,4.09523809524,2.0,21
68,602699,66.59,74.6,266.36,5.75,5.5,4.0,4.0,1.75,1.5,4
69,622789,31.0501818182,24.8,1707.76,16.2692307692,,5.01923076923,,11.5454545455,12.0,55
70,624699,114.69,114.69,114.69,4.0,4.0,3.0,3.0,1.0,1.0,1
71,627699,69.24,69.24,69.24,6.0,6.0,5.0,5.0,1.0,1.0,1
72,646789,105.96,105.96,105.96,8.0,8.0,5.0,5.0,3.0,3.0,1
73,650699,70.1842857143,46.95,491.29,20.8571428571,5.0,3.28571428571,3.0,17.5714285714,2.0,7
74,664699,64.0286956522,53.73,2945.32,15.7777777778,,3.62222222222,,11.8913043478,3.0,46
75,668789,56.04,54.04,1008.72,5.55555555556,5.0,2.94444444444,3.0,2.61111111111,2.5,18
76,672789,157.86,157.86,157.86,3.0,3.0,2.0,2.0,1.0,1.0,1
77,677789,46.805,46.805,93.61,5.0,5.0,2.0,2.0,3.0,3.0,2
78,680789,65.97,65.97,65.97,13.0,13.0,11.0,11.0,2.0,2.0,1
79,694789,21.06,21.06,21.06,6.0,6.0,5.0,5.0,1.0,1.0,1
80,695699,41.06,41.06,41.06,3.0,3.0,2.0,2.0,1.0,1.0,1
81,700699,53.16825,45.375,2126.73,14.5128205128,,4.84615384615,,9.475,2.5,40
82,701789,52.46,52.46,52.46,7.0,7.0,5.0,5.0,2.0,2.0,1
83,708699,50.4988888889,29.31,454.49,6.0,6.0,4.33333333333,5.0,1.66666666667,1.0,9
84,710789,143.04,143.04,572.16,7.0,,3.33333333333,,3.0,3.5,4
85,723789,81.2183333333,70.595,487.31,4.83333333333,4.5,3.33333333333,3.0,1.5,1.5,6
86,724699,37.92,37.92,37.92,10.0,10.0,8.0,8.0,2.0,2.0,1
87,727699,78.17,69.45,859.87,5.4,,3.2,,2.18181818182,2.0,11
88,731789,29.93,29.93,59.86,4.5,4.5,2.0,2.0,2.5,2.5,2
89,733789,58.25,58.25,58.25,8.0,8.0,6.0,6.0,2.0,2.0,1
90,743789,60.744375,36.68,1943.82,7.16129032258,,4.16129032258,,3.0,2.0,32
91,747699,24.89,24.89,24.89,6.0,6.0,3.0,3.0,3.0,3.0,1
92,757699,62.7546153846,48.19,815.81,6.38461538462,7.0,4.07692307692,4.0,2.30769230769,3.0,13
93,769699,67.24375,54.055,537.95,8.125,7.0,4.75,4.0,3.375,3.0,8
94,799699,43.32,31.56,129.96,9.0,9.0,7.33333333333,7.0,1.66666666667,2.0,3
95,800699,381.72,381.72,763.44,9.5,9.5,8.0,8.0,1.5,1.5,2
96,806789,188.525,188.525,377.05,7.0,7.0,5.5,5.5,1.5,1.5,2
97,807699,82.292,51.84,411.46,8.2,9.0,6.2,7.0,2.0,2.0,5
98,810699,82.6696551724,62.73,2397.42,6.10344827586,6.0,3.72413793103,3.0,2.37931034483,2.0,29
99,811789,63.58,63.58,63.58,2.0,2.0,2.0,2.0,0.0,0.0,1
100,813699,76.258,60.89,762.58,6.3,7.0,3.4,3.0,2.9,3.5,10
101,819699,75.09,75.09,75.09,5.0,5.0,4.0,4.0,1.0,1.0,1
102,881699,169.8075,110.46,679.23,4.5,4.5,2.5,2.5,2.0,2.0,4
103,888789,63.3705263158,52.98,1204.04,12.6666666667,,3.16666666667,,9.10526315789,2.0,19
104,903699,84.11,84.11,168.22,6.0,6.0,3.0,3.0,3.0,3.0,2
105,906699,104.9,36.965,1468.6,6.71428571429,6.0,3.07142857143,3.0,3.64285714286,3.0,14
106,909699,54.1,54.1,54.1,28.0,28.0,4.0,4.0,24.0,24.0,1
107,919699,69.3166666667,69.86,623.85,27.5555555556,4.0,1.55555555556,2.0,26.0,2.0,9
108,921699,100.34,100.34,200.68,4.0,4.0,1.5,1.5,2.5,2.5,2
109,925789,338.2,338.2,338.2,5.0,5.0,4.0,4.0,1.0,1.0,1
110,937789,58.786,56.16,293.93,6.2,6.0,4.6,5.0,1.6,2.0,5
111,939789,93.2285714286,64.66,652.6,7.16666666667,,4.83333333333,,2.28571428571,2.0,7
112,951699,137.72,137.72,137.72,4.0,4.0,2.0,2.0,2.0,2.0,1
113,959699,391.26,69.775,3130.08,7.375,7.5,2.375,2.0,5.0,5.0,8
114,961789,60.1275,42.68,481.02,6.0,,4.0,,2.125,2.0,8
115,965699,40.16875,31.305,321.35,7.375,6.0,3.375,4.0,4.0,2.0,8
116,973789,45.54,45.54,45.54,6.0,6.0,4.0,4.0,2.0,2.0,1
117,978789,79.1085714286,66.76,553.76,5.66666666667,,3.83333333333,,1.85714285714,2.0,7
118,985789,32.825,32.825,65.65,7.0,7.0,5.0,5.0,2.0,2.0,2
119,999789,49.475,49.475,98.95,9.0,9.0,2.0,2.0,7.0,7.0,2
120,1004699,32.4266666667,27.26,97.28,6.0,6.0,4.0,4.0,2.0,2.0,3
121,1007789,45.525,45.525,91.05,6.0,6.0,4.0,4.0,2.0,2.0,2
122,1009789,74.86,74.86,74.86,5.0,5.0,3.0,3.0,2.0,2.0,1
123,1012699,87.43,87.43,87.43,4.0,4.0,2.0,2.0,2.0,2.0,1
124,1013789,116.045,116.045,232.09,6.5,6.5,4.5,4.5,2.0,2.0,2
125,1014699,51.615,51.615,103.23,6.0,,3.0,,2.5,2.5,2
126,1020789,103.48,39.675,620.88,7.83333333333,7.0,6.33333333333,6.0,1.5,1.0,6
127,1044699,53.88,53.88,53.88,6.0,6.0,3.0,3.0,3.0,3.0,1
128,1057699,42.76,42.76,42.76,11.0,11.0,5.0,5.0,6.0,6.0,1
129,1070699,261.78,261.78,261.78,,,,,3.0,3.0,1
130,1071789,53.5783333333,44.3,321.47,7.0,7.0,4.33333333333,4.0,2.66666666667,3.0,6
131,1076789,49.0196,37.98,3676.47,8.98591549296,,3.47887323944,,5.30666666667,2.0,75
132,1077699,72.55,72.55,145.1,3.0,3.0,1.0,1.0,2.0,2.0,2
133,1086789,28.0333333333,26.16,84.1,12.0,10.0,9.66666666667,6.0,2.33333333333,2.0,3
134,1088699,211.3,62.94,633.9,13.6666666667,9.0,2.0,2.0,11.6666666667,7.0,3
135,1096789,42.648,33.05,1279.44,7.06896551724,,2.89655172414,,4.1724137931,,30
136,1097699,47.6646153846,39.39,619.64,11.0769230769,8.0,4.23076923077,4.0,6.84615384615,4.0,13
137,1101789,82.628,69.39,413.14,11.25,,3.75,,6.6,2.0,5
138,1103789,33.03,33.03,33.03,7.0,7.0,5.0,5.0,2.0,2.0,1
139,1122699,43.3366666667,46.8,260.02,8.66666666667,10.0,5.33333333333,6.0,3.33333333333,4.0,6
140,1122789,160.18,160.18,160.18,3.0,3.0,1.0,1.0,2.0,2.0,1
141,1125789,52.595,52.595,105.19,5.0,5.0,2.5,2.5,2.5,2.5,2
142,1127699,51.686,46.4,2842.73,5.60377358491,,3.39622641509,,2.21818181818,2.0,55
143,1129789,74.382,58.79,371.91,7.6,6.0,2.6,3.0,5.0,4.0,5
144,1141699,64.9090909091,54.48,714.0,7.45454545455,5.0,3.27272727273,3.0,4.18181818182,2.0,11
145,1154699,48.6733333333,35.04,146.02,6.66666666667,7.0,5.0,5.0,1.66666666667,2.0,3
146,1166699,50.3,50.3,50.3,9.0,9.0,6.0,6.0,3.0,3.0,1
147,1166789,94.6681818182,49.4,1041.35,6.3,,4.1,,2.09090909091,2.0,11
148,1169789,23.03,23.03,23.03,5.0,5.0,4.0,4.0,1.0,1.0,1
149,1177789,46.01,46.01,46.01,9.0,9.0,6.0,6.0,3.0,3.0,1
150,1184699,65.155,65.155,130.31,5.5,5.5,2.5,2.5,3.0,3.0,2
151,1201789,194.62,211.98,583.86,4.33333333333,4.0,3.0,3.0,1.33333333333,1.0,3
152,1203699,50.5389130435,35.99,2324.79,5.4347826087,5.0,2.5,2.0,2.9347826087,2.0,46
153,1205789,27.7866666667,21.76,83.36,6.33333333333,6.0,3.66666666667,4.0,2.66666666667,3.0,3
154,1206789,23.78,23.78,23.78,11.0,11.0,4.0,4.0,7.0,7.0,1
155,1213699,70.7628571429,61.62,495.34,5.83333333333,,3.66666666667,,2.28571428571,2.0,7
